"lesson_number","lesson_title","pub_date"
"1","はじめまして",""
"2","ほんの気持ちです",""
"3","これをください",""
"4","そちらは何時から何時までですか",""
"5","甲子園へ行きますか",""
"6","いっしょにいきませんか",""
"7","ごめんください",""
"8","そろそろ失礼します",""
"9","残念です",""
"10","チリソースがありませんか",""
"11","これをお願いします",""
"12","お祭りはどうでしたか？",""
"13","別々にお願いします",""
"14","梅田まで行ってください",""
"15","ご家族は？",""
"16","使い方を教えてください",""
"17","どうしましたか？",""
"18","趣味はなんですか",""
"19","ダイエットは明日からします",""
"20","夏休みはどうするの？",""
"21","私もそうと思います",""
"22","どんなアパートがいいですか",""
"23","どうやって行きますか",""
"24","手伝ってくれますか",""
"25","いろいろお世話になりました",""
"26","どこにゴミを出したらいいですか？",""
"27","何でもつくれるんですね",""
"28","お茶でも飲みながら...",""
"29","忘れものをしてしまったです",""
"30","チケットを予約しておきます",""
"31","インターネットを始めようと思っています",""
"32","病気かもしれません",""
"33","これはどういう意味ですか",""
"34","するとおりにしてください",""
"35","旅行会社へ行けば、わかります",""
"36","頭と体を使うようにしています",""
"37","海を埋め立てて造りました",""
"38","片づけるのは好きなんです",""
"39","遅れてすみません",""
"40","友達ができたかどうか、心配です",""
"41","荷物をお預かっていただけませんか",""
"42","ボーナスは何に使いますか",""
"43","優しそうですね",""
"44","この写真のようにしてください",""
"45","一生懸命　練習したのに",""
"46","もうすぐ着くはずです",""
"47","婚約したそうです",""
"48","休ませていただけませんか",""
"49","よろしくお伝えください",""
"50","心から感謝いたします",""
